player,season,GP_sum,MIN_sum,FG_accuracy,3P_accuracy,FT_accuracy,points_per_min,overall_shooting_accuracy
Abe Badmus,2011 - 2012,28,515.8,0.3916,0.2727,0.7143,0.3412,0.4549
Abe Lodwick,2012 - 2013,74,1310.4,0.4219,0.3636,0.7083,0.3602,0.4429
Abe Lodwick,2013 - 2014,29,787.2,0.4568,0.4094,0.8378,0.4268,0.5068
Abe Lodwick,2014 - 2015,37,739.0,0.4603,0.4385,0.7111,0.3559,0.4835
Abe Lodwick,2015 - 2016,39,1017.0,0.4093,0.3864,0.8462,0.3186,0.4476
Abe Lodwick,2016 - 2017,34,626.2,0.4261,0.367,0.7949,0.3529,0.4506
Abednego Lufile,2019 - 2020,15,131.0,0.3095,0.25,0.6364,0.313,0.4118
Abel Velarde,2012 - 2013,36,766.7,0.3188,0.3125,0.6667,0.09,0.3561
Abodulaye M'Baye,2007 - 2008,28,720.0,0.5481,0.3333,0.6761,0.4111,0.5369
Abodulaye M'Baye,2008 - 2009,29,905.0,0.5227,0.3628,0.7778,0.4785,0.5323
Abodulaye M'Baye,2009 - 2010,27,776.0,0.4521,0.3243,0.7042,0.3505,0.4753
Abodulaye M'Baye,2010 - 2011,29,652.0,0.5221,0.3977,0.6719,0.4816,0.5185
Abodulaye M'Baye,2011 - 2012,28,699.0,0.4226,0.3143,0.7353,0.402,0.4466
Abodulaye M'Baye,2012 - 2013,30,437.0,0.4545,0.3607,0.6731,0.405,0.4776
Abraham Garduno,2012 - 2013,35,655.7,0.4176,0.0,0.6286,0.1495,0.4615
Abraham Garduno,2013 - 2014,36,677.8,0.3979,0.5,0.593,0.301,0.4588
Abraham Garduno,2014 - 2015,35,692.3,0.4112,0.3333,0.5448,0.3698,0.4641
Abraham Sandoval,2015 - 2016,37,729.8,0.4627,0.3784,0.6508,0.3494,0.4793
Abrian Edwards,2019 - 2020,18,273.0,0.4118,0.5,0.7917,0.2308,0.5316
Abudurexiti Abudushalamu,2017 - 2018,42,803.9,0.4908,0.3288,0.7761,0.3607,0.5112
Abudurexiti Abudushalamu,2018 - 2019,55,2029.7,0.5481,0.4027,0.7639,0.5016,0.5601
Abudurexiti Abudushalamu,2019 - 2020,20,677.0,0.4878,0.3263,0.75,0.4963,0.5035
Achille Polonara,2011 - 2012,32,498.0,0.6149,0.3415,0.6329,0.5261,0.5801
Achille Polonara,2012 - 2013,40,819.0,0.4669,0.3402,0.6622,0.4103,0.4718
Achille Polonara,2013 - 2014,40,1050.7,0.4277,0.3313,0.7215,0.3693,0.4405
Achille Polonara,2014 - 2015,59,1884.4,0.461,0.3529,0.6543,0.3736,0.4649
Achille Polonara,2015 - 2016,62,1705.2,0.4824,0.3231,0.6154,0.38,0.4604
Achille Polonara,2016 - 2017,33,908.0,0.4901,0.3721,0.5541,0.3711,0.4671
Achille Polonara,2017 - 2018,32,872.8,0.4907,0.4058,0.6038,0.4033,0.4783
Achille Polonara,2018 - 2019,63,1378.5,0.4859,0.3289,0.7619,0.4752,0.4847
Achille Polonara,2019 - 2020,57,725.6,0.44,0.314,0.6949,0.3363,0.4522
Achmadschah Zazai,2011 - 2012,54,817.4,0.3521,0.1111,0.7949,0.2031,0.4531
Achmadschah Zazai,2012 - 2013,56,1295.6,0.4653,0.5455,0.7553,0.3535,0.5745
Acie Law,2007 - 2008,7,61.0,0.75,nan,0.9,0.3443,0.8333
Acie Law,2011 - 2012,12,200.7,0.3966,0.2308,0.8095,0.3288,0.4674
Acie Law,2012 - 2013,57,1207.2,0.4737,0.3647,0.75,0.3686,0.5174
Aco Mandic,2011 - 2012,35,864.0,0.6019,0.3443,0.7619,0.5544,0.6042
Aco Mandic,2012 - 2013,38,1164.7,0.5871,0.411,0.7723,0.4688,0.5978
Aco Mandic,2015 - 2016,23,692.5,0.5396,0.4074,0.7553,0.4491,0.5771
Aco Mandic,2017 - 2018,18,438.1,0.5325,0.3889,0.814,0.4862,0.5622
Adam Antoni,2016 - 2017,38,909.6,0.447,0.2447,0.7164,0.3375,0.4447
Adam Antoni,2017 - 2018,29,719.6,0.5161,0.2308,0.7042,0.3571,0.5
Adam Antoni,2018 - 2019,28,528.1,0.5,0.3167,0.6842,0.4014,0.4982
Adam Antoni,2019 - 2020,25,519.0,0.4122,0.2903,0.7059,0.289,0.4229
Adam Arciniega,2018 - 2019,12,231.6,0.4691,0.4545,0.7059,0.4016,0.5046
Adam Ariel,2017 - 2018,31,621.0,0.4136,0.4159,0.7143,0.3398,0.4543
Adam Ariel,2018 - 2019,38,844.0,0.3796,0.3584,0.85,0.3341,0.4127
Adam Ariel,2019 - 2020,41,863.6,0.3783,0.3393,0.7458,0.4053,0.4003
Adam Blazek,2015 - 2016,41,1050.0,0.3673,0.3043,0.8182,0.3571,0.3889
Adam Blazek,2016 - 2017,43,1320.0,0.4,0.3857,0.8248,0.4674,0.4594
Adam Blazek,2017 - 2018,41,1362.6,0.4211,0.366,0.7692,0.5379,0.4725
Adam Blazek,2018 - 2019,21,523.0,0.3713,0.3136,0.8571,0.3652,0.4031
Adam Brenk,2019 - 2020,18,188.3,0.4545,0.4211,0.7143,0.2284,0.4746
Adam Brown,2011 - 2012,33,1269.7,0.4431,0.3382,0.8257,0.5119,0.4764
Adam Chubb,2006 - 2007,78,2226.6,0.5559,nan,0.7039,0.4267,0.6025
Adam Chubb,2007 - 2008,89,2199.8,0.5785,0.0,0.7101,0.5578,0.6329
Adam Chubb,2008 - 2009,102,1665.6,0.572,1.0,0.7622,0.4509,0.6449
Adam Chubb,2009 - 2010,78,1512.7,0.6013,0.0,0.7865,0.5156,0.6662
Adam Chubb,2010 - 2011,34,670.9,0.5149,0.0,0.6935,0.3741,0.5547
Adam Chubb,2011 - 2012,68,1847.0,0.636,0.0,0.7719,0.4548,0.6737
Adam Chubb,2012 - 2013,92,2366.8,0.5927,nan,0.7483,0.42,0.6398
Adam Chubb,2014 - 2015,84,2069.3,0.604,1.0,0.8,0.5176,0.6585
Adam Chubb,2015 - 2016,58,1478.0,0.556,nan,0.7867,0.429,0.6124
Adam Ciz,2011 - 2012,40,887.7,0.4387,0.3571,0.6721,0.3008,0.4519
Adam Ciz,2012 - 2013,39,995.2,0.386,0.2929,0.6344,0.3557,0.4039
Adam Ciz,2013 - 2014,38,1099.0,0.4017,0.2749,0.6833,0.3776,0.4204
Adam Ciz,2014 - 2015,37,1266.0,0.3443,0.2472,0.7297,0.3136,0.3816
Adam Ciz,2015 - 2016,37,1309.3,0.3512,0.2885,0.748,0.3979,0.3878
Adam Ciz,2017 - 2018,35,1124.2,0.4263,0.2847,0.7207,0.3442,0.448
Adam Ciz,2018 - 2019,22,630.6,0.4315,0.338,0.6071,0.3187,0.4585
Adam Ciz,2019 - 2020,22,754.2,0.417,0.3115,0.6848,0.3938,0.4432
Adam Constantine,2011 - 2012,48,1030.2,0.6183,1.0,0.5352,0.3902,0.5911
Adam Csabay,2012 - 2013,32,597.0,0.3971,0.3333,0.6667,0.2613,0.408
Adam Csabay,2013 - 2014,36,1039.0,0.4142,0.4043,0.7073,0.2916,0.4359
Adam Emmenecker,2008 - 2009,68,1028.2,0.2931,0.1875,0.6667,0.1245,0.373
Adam Finstad,2012 - 2013,26,446.7,0.4059,0.4386,0.6667,0.2888,0.4607
Adam Goga,2019 - 2020,28,422.6,0.4328,0.3409,0.6429,0.194,0.424
